WAN,Wide Area Network
WBS,Work Breakdown Structure
WFI,World Fiber Inc
WIP,Work In Progress
WSDOT,Washington State Department Of Transportation
WSSC,Washington Suburban Sanitary Commission
WUC(s),Walk-Up Center(s)
ZC,Zone Controller
ZEV,Zero Emission Vehicle
